title,body,labels
"[ÉPICA] Business Core","Núcleo de Negocio Tradicional (ERP Base) con módulos financieros y recursos humanos","epic"
"[FEATURE] Financial Management","Módulos de gestión financiera tradicional","feature"
"[TASK] General Ledger","Implementar contabilidad general robusta","task"
"[TASK] Accounts Payable Receivable","Desarrollar cuentas por pagar y cobrar","task"
"[TASK] Budgeting Planning","Crear presupuestación y planificación financiera","task"
"[TASK] Tax Management","Implementar gestión de impuestos multi-jurisdicción","task"
"[FEATURE] Human Resources","Módulos de gestión de recursos humanos","feature"
"[TASK] Employee Lifecycle","Desarrollar ciclo de vida completo de empleados","task"
"[TASK] Payroll Management","Implementar nómina y beneficios","task"
"[TASK] Performance Management","Crear gestión de desempeño tradicional","task"
"[TASK] Compliance HR","Desarrollar cumplimiento de RRHH","task"
"[FEATURE] Master Data","Gestión de datos maestros","feature"
"[TASK] Data Governance","Implementar gobernanza de datos maestros","task"
"[TASK] Entity Management","Desarrollar gestión de entidades empresariales","task"
"[TASK] Hierarchy Management","Crear gestión de jerarquías organizacionales","task"
"[ÉPICA] AI Engine","Motor Central de IA con modelos predictivos y machine learning","epic"
"[FEATURE] Core Prediction Models","Modelos de predicción principales","feature"
"[TASK] Demand Forecasting","Implementar predicción de demanda multi-modal","task"
"[TASK] Supply Risk Assessment","Desarrollar evaluación de riesgos de suministro","task"
"[TASK] Maintenance Predictor","Crear mantenimiento predictivo de activos","task"
"[TASK] Customer Behavior Analysis","Implementar análisis de comportamiento de clientes","task"
"[FEATURE] ML Ops","Operaciones de machine learning","feature"
"[TASK] Model Training","Desarrollar pipeline de entrenamiento automatizado","task"
"[TASK] Model Deployment","Implementar despliegue y versionado de modelos","task"
"[TASK] Model Monitoring","Crear monitoreo de drift y performance","task"
"[TASK] Feature Engineering","Desarrollar ingeniería de características automatizada","task"
"[FEATURE] Knowledge Graph","Grafo de conocimiento empresarial","feature"
"[TASK] Entity Management","Implementar gestión de entidades empresariales","task"
"[TASK] Relationship Mapping","Desarrollar mapeo de relaciones complejas","task"
"[TASK] Semantic Search","Crear búsqueda semántica avanzada","task"
"[ÉPICA] Logistics Core","Núcleo de Logística Inteligente con optimización y automatización","epic"
"[FEATURE] Intelligent Routing","Optimización inteligente de rutas","feature"
"[TASK] Dynamic Route Optimizer","Implementar algoritmos genéticos para optimización multi-objetivo","task"
"[TASK] Fleet Management","Desarrollar gestión de flota completa","task"
"[TASK] Vehicle Tracking","Crear rastreo y telemetría de vehículos","task"
"[TASK] Driver Performance","Implementar análisis de desempeño de conductores","task"
"[TASK] Fuel Optimization","Desarrollar optimización de consumo de combustible","task"
"[FEATURE] Smart Inventory","Gestión inteligente de inventario","feature"
"[TASK] Predictive Inventory Management","Implementar gestión predictiva de inventario","task"
"[TASK] Demand Sensing","Desarrollar sensado de demanda en tiempo real","task"
"[TASK] Stock Optimization","Crear optimización de niveles de stock","task"
"[TASK] Supplier Intelligence","Implementar inteligencia de proveedores","task"
"[TASK] Warehouse Optimization","Desarrollar optimización de almacenes","task"
"[TASK] Space Allocation","Crear asignación inteligente de espacios","task"
"[TASK] Picking Path Optimization","Implementar optimización de rutas de picking","task"
"[TASK] Cross Docking Manager","Desarrollar gestión inteligente de cross-docking","task"
"[FEATURE] Supply Chain Visibility","Visibilidad completa de la cadena de suministro","feature"
"[TASK] End to End Tracking","Implementar trazabilidad completa de la cadena","task"
"[TASK] Disruption Management","Desarrollar gestión proactiva de disrupciones","task"
"[TASK] Collaborative Planning","Crear planificación colaborativa con socios","task"
"[ÉPICA] Automation Hub","Centro de Automatización con robótica e IoT","epic"
"[FEATURE] Robotics Integration","Integración de sistemas robóticos","feature"
"[TASK] Warehouse Robotics","Implementar robótica de almacén","task"
"[TASK] Robot Coordination","Desarrollar coordinación de múltiples robots","task"
"[TASK] Task Scheduling","Crear programación inteligente de tareas","task"
"[TASK] Collision Avoidance","Implementar prevención de colisiones y congestión","task"
"[FEATURE] IoT Ecosystem","Ecosistema de Internet de las Cosas","feature"
"[TASK] Sensor Networks","Desarrollar redes de sensores","task"
"[TASK] Environmental Monitoring","Implementar monitoreo de condiciones ambientales","task"
"[TASK] Asset Condition Tracking","Crear seguimiento de condición de activos","task"
"[TASK] Energy Management","Desarrollar gestión inteligente de energía","task"
"[FEATURE] Process Automation","Automatización de procesos empresariales","feature"
"[TASK] Workflow Engine","Implementar motor de flujos de trabajo","task"
"[TASK] Business Process Automation","Desarrollar RPA empresarial","task"
"[TASK] Approval Workflows","Crear flujos de aprobación inteligentes","task"
"[TASK] Exception Handling","Implementar manejo automatizado de excepciones","task"
"[ÉPICA] Customer Engagement","Gestión de Clientes y CRM inteligente","epic"
"[FEATURE] Intelligent CRM","CRM con inteligencia artificial","feature"
"[TASK] Customer 360","Implementar perfiles de clientes 360°","task"
"[TASK] Customer Profiling","Desarrollar perfiles de clientes 360°","task"
"[TASK] Interaction History","Crear historial completo de interacciones","task"
"[TASK] Predictive Customer Analytics","Implementar análisis predictivo de clientes","task"
"[TASK] Sales Automation","Desarrollar automatización de ventas","task"
"[TASK] Lead Management","Crear gestión inteligente de leads","task"
"[TASK] Opportunity Tracking","Implementar seguimiento de oportunidades","task"
"[TASK] Quote Configuration","Desarrollar configuración y cotización inteligente","task"
"[FEATURE] Service Excellence","Excelencia en servicio al cliente","feature"
"[TASK] Customer Service","Implementar servicio al cliente","task"
"[TASK] Case Management","Desarrollar gestión de casos de servicio","task"
"[TASK] SLA Management","Crear gestión de niveles de servicio","task"
"[TASK] Customer Feedback Analysis","Implementar análisis de feedback de clientes","task"
"[ÉPICA] Supplier Network","Red de Proveedores y Procurement inteligente","epic"
"[FEATURE] Procurement Intelligence","Inteligencia en adquisiciones","feature"
"[TASK] Supplier Management","Implementar gestión de proveedores","task"
"[TASK] Supplier Qualification","Desarrollar calificación y evaluación de proveedores","task"
"[TASK] Performance Monitoring","Crear monitoreo de desempeño de proveedores","task"
"[TASK] Risk Assessment","Implementar evaluación de riesgos de proveedores","task"
"[TASK] Contract Management","Desarrollar gestión inteligente de contratos","task"
"[FEATURE] Sourcing Optimization","Optimización de sourcing","feature"
"[TASK] Strategic Sourcing","Implementar sourcing estratégico","task"
"[TASK] Spend Analysis","Desarrollar análisis inteligente de gastos","task"
"[TASK] Supplier Selection","Crear selección optimizada de proveedores","task"
"[TASK] Negotiation Support","Implementar soporte a negociaciones","task"
"[ÉPICA] Financial Operations","Operaciones Financieras Especializadas en logística","epic"
"[FEATURE] Logistics Costing","Costeo logístico especializado","feature"
"[TASK] Transportation Costing","Implementar costeo de transporte","task"
"[TASK] Freight Cost Management","Desarrollar gestión de costos de flete","task"
"[TASK] Fuel Cost Optimization","Crear optimización de costos de combustible","task"
"[TASK] Carrier Billing","Implementar facturación inteligente de transportistas","task"
"[FEATURE] Revenue Management","Gestión de ingresos","feature"
"[TASK] Pricing Intelligence","Desarrollar inteligencia de precios","task"
"[TASK] Dynamic Pricing","Implementar precios dinámicos basados en IA","task"
"[TASK] Profitability Analysis","Crear análisis de rentabilidad por ruta/cliente","task"
"[TASK] Invoice Automation","Desarrollar automatización inteligente de facturación","task"
"[ÉPICA] Analytics Platform","Plataforma de Análisis Avanzado con BI","epic"
"[FEATURE] Real Time Dashboard","Dashboard en tiempo real","feature"
"[TASK] Executive Cockpit","Implementar dashboard ejecutivo en tiempo real","task"
"[TASK] Operational Dashboards","Desarrollar dashboards operacionales especializados","task"
"[TASK] Predictive Alerts","Crear sistema de alertas predictivas","task"
